Week,Date,Lab Topic
1,15-Jan,No Lab
2,22-Jan,Data Wrangling in R
3,29-Jan,Data Visualization in R
4,5-Feb,Binary Dependent Outcomes
5,12-Feb,Ordered/Multinomial Outcomes
6,19-Feb,Advanced R Programming
7,26-Feb,Reproducibility in R
8,4-Mar,Panel and Diff-in-Diff
9,18-Mar,Instruments
10,25-Mar,No Lab - Midterm
11,1-Apr,Experiments
12,8-Apr,Regression Discontinuity
13,15-Apr,Matching
14,22-Apr,Review for Final
